id,BRAND,PURPOSE,OPERATING_SYSTEM,YEAR,PROCESSOR_TYPE,AMD_MODEL,INTEL_MODEL,QUALCOMM_MODEL,GRAPHICS_NUMBER,GRAPHICS_TYPE,GRAPHICS_BRAND,NVIDIA_GRAPHICS,AMD_GRAPHICS,INTEL_GRAPHICS,DRIVE_NUMBER,DRIVE_TYPE,CAPACITY,RAM_NUMBER,RAM_TYPE,RAM_CAPACITY,SCREEN_RESOLUTION,SCREEN_CONDITION,KEYBOARD_LAYOUT,KEYBOARD_CONDITION,LAPTOP_POWER_STATUS,LAPTOP_CHARGER,LAPTOP_USB,LAN_PORT,WIFI_CONDITION,BLUETOOTH_CONDITION
539,,,,,,,Pentium N4200E,,,,,,,,,,,,,,,,,,,,,,,
540,,,,,,,Pentium N4200,,,,,,,,,,,,,,,,,,,,,,,
541,,,,,,,Pentium N3710,,,,,,,,,,,,,,,,,,,,,,,
542,,,,,,,Pentium N3700,,,,,,,,,,,,,,,,,,,,,,,
543,,,,,,,Pentium N3540,,,,,,,,,,,,,,,,,,,,,,,
544,,,,,,,Pentium N3530,,,,,,,,,,,,,,,,,,,,,,,
545,,,,,,,Pentium N3520,,,,,,,,,,,,,,,,,,,,,,,
546,,,,,,,Pentium N3510,,,,,,,,,,,,,,,,,,,,,,,
547,,,,,,,Pentium 6805,,,,,,,,,,,,,,,,,,,,,,,
548,,,,,,,Pentium 4405U,,,,,,,,,,,,,,,,,,,,,,,
549,,,,,,,Pentium 4405Y,,,,,,,,,,,,,,,,,,,,,,,
550,,,,,,,Pentium 3825U,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,Pentium 3805U,,,,,,,,,,,,,,,,,,,,,,,
552,,,,,,,Pentium 3560M,,,,,,,,,,,,,,,,,,,,,,,
553,,,,,,,Pentium 3558U,,,,,,,,,,,,,,,,,,,,,,,
554,,,,,,,Pentium 3561Y,,,,,,,,,,,,,,,,,,,,,,,
555,,,,,,,Pentium 3550M,,,,,,,,,,,,,,,,,,,,,,,
556,,,,,,,Pentium 3556U,,,,,,,,,,,,,,,,,,,,,,,
557,,,,,,,Pentium 3560Y,,,,,,,,,,,,,,,,,,,,,,,
558,,,,,,,Pentium 2127U,,,,,,,,,,,,,,,,,,,,,,,
559,,,,,,,Pentium 2030M,,,,,,,,,,,,,,,,,,,,,,,
560,,,,,,,Pentium 2129Y,,,,,,,,,,,,,,,,,,,,,,,
561,,,,,,,Pentium 2020M,,,,,,,,,,,,,,,,,,,,,,,
562,,,,,,,Pentium 2117U,,,,,,,,,,,,,,,,,,,,,,,
563,,,,,,,Pentium A1020,,,,,,,,,,,,,,,,,,,,,,,
564,,,,,,,Pentium 1405 v2,,,,,,,,,,,,,,,,,,,,,,,
565,,,,,,,Pentium A1018,,,,,,,,,,,,,,,,,,,,,,,
566,,,,,,,Pentium 1405,,,,,,,,,,,,,,,,,,,,,,,
567,,,,,,,Pentium B925C,,,,,,,,,,,,,,,,,,,,,,,
568,,,,,,,Pentium 987,,,,,,,,,,,,,,,,,,,,,,,
569,,,,,,,Pentium 997,,,,,,,,,,,,,,,,,,,,,,,
570,,,,,,,Pentium G645,,,,,,,,,,,,,,,,,,,,,,,
571,,,,,,,Pentium G645T,,,,,,,,,,,,,,,,,,,,,,,
572,,,,,,,Pentium B980,,,,,,,,,,,,,,,,,,,,,,,
573,,,,,,,Pentium G640,,,,,,,,,,,,,,,,,,,,,,,
574,,,,,,,Pentium G640T,,,,,,,,,,,,,,,,,,,,,,,
575,,,,,,,Pentium G860T,,,,,,,,,,,,,,,,,,,,,,,
576,,,,,,,Pentium G870,,,,,,,,,,,,,,,,,,,,,,,
577,,,,,,,Pentium B915C,,,,,,,,,,,,,,,,,,,,,,,
578,,,,,,,Pentium 977,,,,,,,,,,,,,,,,,,,,,,,
579,,,,,,,Pentium B970,,,,,,,,,,,,,,,,,,,,,,,
580,,,,,,,Pentium 967,,,,,,,,,,,,,,,,,,,,,,,
581,,,,,,,Pentium B960,,,,,,,,,,,,,,,,,,,,,,,
582,,,,,,,Pentium G630,,,,,,,,,,,,,,,,,,,,,,,
583,,,,,,,Pentium G630T,,,,,,,,,,,,,,,,,,,,,,,
584,,,,,,,Pentium G632,,,,,,,,,,,,,,,,,,,,,,,
585,,,,,,,Pentium G6951,,,,,,,,,,,,,,,,,,,,,,,
586,,,,,,,Pentium G860,,,,,,,,,,,,,,,,,,,,,,,
587,,,,,,,Pentium 957,,,,,,,,,,,,,,,,,,,,,,,
588,,,,,,,Pentium B940,,,,,,,,,,,,,,,,,,,,,,,
589,,,,,,,Pentium B950,,,,,,,,,,,,,,,,,,,,,,,
590,,,,,,,Pentium G620,,,,,,,,,,,,,,,,,,,,,,,
591,,,,,,,Pentium G620T,,,,,,,,,,,,,,,,,,,,,,,
592,,,,,,,Pentium G622,,,,,,,,,,,,,,,,,,,,,,,
593,,,,,,,Pentium G840,,,,,,,,,,,,,,,,,,,,,,,
594,,,,,,,Pentium G850,,,,,,,,,,,,,,,,,,,,,,,
595,,,,,,,Pentium G6960,,,,,,,,,,,,,,,,,,,,,,,
596,,,,,,,Pentium U5600,,,,,,,,,,,,,,,,,,,,,,,
597,,,,,,,Pentium P6300,,,,,,,,,,,,,,,,,,,,,,,
598,,,,,,,Pentium E5800,,,,,,,,,,,,,,,,,,,,,,,
599,,,,,,,Pentium E5700,,,,,,,,,,,,,,,,,,,,,,,
600,,,,,,,Pentium E6800,,,,,,,,,,,,,,,,,,,,,,,
601,,,,,,,Pentium P6100,,,,,,,,,,,,,,,,,,,,,,,
602,,,,,,,Pentium P6200,,,,,,,,,,,,,,,,,,,,,,,
603,,,,,,,Pentium E6700,,,,,,,,,,,,,,,,,,,,,,,
604,,,,,,,Pentium U5400,,,,,,,,,,,,,,,,,,,,,,,
605,,,,,,,Pentium E5500,,,,,,,,,,,,,,,,,,,,,,,
606,,,,,,,Pentium P6000,,,,,,,,,,,,,,,,,,,,,,,
607,,,,,,,Pentium G6950,,,,,,,,,,,,,,,,,,,,,,,
608,,,,,,,Pentium E6600,,,,,,,,,,,,,,,,,,,,,,,
609,,,,,,,Pentium T4500,,,,,,,,,,,,,,,,,,,,,,,
610,,,,,,,Pentium T4400,,,,,,,,,,,,,,,,,,,,,,,
611,,,,,,,Pentium E6500,,,,,,,,,,,,,,,,,,,,,,,
612,,,,,,,Pentium E6500K,,,,,,,,,,,,,,,,,,,,,,,
613,,,,,,,Pentium E6300,,,,,,,,,,,,,,,,,,,,,,,
614,,,,,,,Pentium E5400,,,,,,,,,,,,,,,,,,,,,,,
615,,,,,,,Pentium T4200,,,,,,,,,,,,,,,,,,,,,,,
616,,,,,,,Pentium E5300,,,,,,,,,,,,,,,,,,,,,,,
617,,,,,,,Pentium T3400,,,,,,,,,,,,,,,,,,,,,,,
618,,,,,,,Pentium E5200,,,,,,,,,,,,,,,,,,,,,,,
619,,,,,,,Pentium E2220,,,,,,,,,,,,,,,,,,,,,,,
620,,,,,,,Pentium T2370,,,,,,,,,,,,,,,,,,,,,,,
621,,,,,,,Pentium E2200,,,,,,,,,,,,,,,,,,,,,,,
622,,,,,,,Pentium T2310,,,,,,,,,,,,,,,,,,,,,,,
623,,,,,,,Pentium T2330,,,,,,,,,,,,,,,,,,,,,,,
624,,,,,,,Pentium E2180,,,,,,,,,,,,,,,,,,,,,,,
625,,,,,,,Pentium E2140,,,,,,,,,,,,,,,,,,,,,,,
626,,,,,,,Pentium T2080,,,,,,,,,,,,,,,,,,,,,,,
627,,,,,,,Pentium T2130,,,,,,,,,,,,,,,,,,,,,,,
628,,,,,,,Pentium D 935,,,,,,,,,,,,,,,,,,,,,,,
629,,,,,,,Pentium T2060,,,,,,,,,,,,,,,,,,,,,,,
630,,,,,,,Pentium 4 651 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
631,,,,,,,Pentium D 915,,,,,,,,,,,,,,,,,,,,,,,
632,,,,,,,Pentium D 925,,,,,,,,,,,,,,,,,,,,,,,
633,,,,,,,Pentium D 945,,,,,,,,,,,,,,,,,,,,,,,
634,,,,,,,Pentium E2160,,,,,,,,,,,,,,,,,,,,,,,
635,,,,,,,Pentium 4 524 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
636,,,,,,,Pentium D 960,,,,,,,,,,,,,,,,,,,,,,,
637,,,,,,,Pentium 4 631 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
638,,,,,,,Pentium 4 641 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
639,,,,,,,Pentium 4 661 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
640,,,,,,,Pentium D 920 (1),,,,,,,,,,,,,,,,,,,,,,,
641,,,,,,,Pentium D 920 (2),,,,,,,,,,,,,,,,,,,,,,,
642,,,,,,,Pentium D 930,,,,,,,,,,,,,,,,,,,,,,,
643,,,,,,,Pentium D 940,,,,,,,,,,,,,,,,,,,,,,,
644,,,,,,,Pentium D 950,,,,,,,,,,,,,,,,,,,,,,,
645,,,,,,,Pentium 955 Extreme Edition,,,,,,,,,,,,,,,,,,,,,,,
646,,,,,,,Pentium 965 Extreme Edition,,,,,,,,,,,,,,,,,,,,,,,
647,,,,,,,Pentium 4 511,,,,,,,,,,,,,,,,,,,,,,,
648,,,,,,,Pentium 4 516,,,,,,,,,,,,,,,,,,,,,,,
649,,,,,,,Pentium 4 540J Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
650,,,,,,,Pentium 4 630 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
651,,,,,,,Pentium 4 662 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
652,,,,,,,Pentium 4 672 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
653,,,,,,,Pentium 4 515/515J,,,,,,,,,,,,,,,,,,,,,,,
654,,,,,,,Pentium 4 517 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
655,,,,,,,Pentium 4 521 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
656,,,,,,,Pentium 4 561 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
657,,,,,,,Pentium 4 571 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
658,,,,,,,Pentium 4 506,,,,,,,,,,,,,,,,,,,,,,,
659,,,,,,,Pentium 4 670 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
660,,,,,,,Pentium D 820,,,,,,,,,,,,,,,,,,,,,,,
661,,,,,,,Pentium D 830,,,,,,,,,,,,,,,,,,,,,,,
662,,,,,,,Pentium D 840,,,,,,,,,,,,,,,,,,,,,,,
663,,,,,,,Pentium 840 Extreme Edition,,,,,,,,,,,,,,,,,,,,,,,
664,,,,,,,Pentium 4 505/505J,,,,,,,,,,,,,,,,,,,,,,,
665,,,,,,,Pentium 4 640 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
666,,,,,,,Pentium 4 650 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
667,,,,,,,Pentium 4 660 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
668,,,,,,,Pentium D 805,,,,,,,,,,,,,,,,,,,,,,,
669,,,,,,,Pentium M 760,,,,,,,,,,,,,,,,,,,,,,,
670,,,,,,,Pentium 4 519K,,,,,,,,,,,,,,,,,,,,,,,
671,,,,,,,Pentium 4 520J Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
672,,,,,,,Pentium 4 530J Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
673,,,,,,,Pentium 4 550J Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
674,,,,,,,Pentium 4 570J Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
675,,,,,,,"Pentium 4 Extreme Edition Supporting HT Technology, 3.46 GHz, 2M Cache, 1066 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
676,,,,,,,"Pentium 4 Extreme Edition Supporting HT Technology, 3.73 GHz, 2M Cache, 1066 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
677,,,,,,,Pentium M LV 738,,,,,,,,,,,,,,,,,,,,,,,
678,,,,,,,Pentium 4 541 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
679,,,,,,,Pentium 4 531 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
680,,,,,,,Pentium 4 551 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
681,,,,,,,Pentium M 745,,,,,,,,,,,,,,,,,,,,,,,
682,,,,,,,Pentium M 745A,,,,,,,,,,,,,,,,,,,,,,,
683,,,,,,,Pentium 4 520 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
684,,,,,,,Pentium 4 530/530J Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
685,,,,,,,Pentium 4 540/540J Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
686,,,,,,,Pentium 4 550 Supporting HT Technology,,,,,,,,,,,,,,,,,,,,,,,
687,,,,,,,Pentium M 725,,,,,,,,,,,,,,,,,,,,,,,
688,,,,,,,"Pentium 4, 2.80 GHz, 512K Cache, 533 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
689,,,,,,,"Pentium 4 Supporting HT Technology, 2.80E GHz, 1M Cache, 800 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
690,,,,,,,"Pentium 4 Supporting HT Technology, 3.00 GHz, 1M Cache, 800 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
691,,,,,,,"Pentium 4 Supporting HT Technology, 3.00E GHz, 1M Cache, 800 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
692,,,,,,,"Pentium 4 Supporting HT Technology, 3.20 GHz, 1M Cache, 800 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
693,,,,,,,"Pentium 4 Supporting HT Technology, 3.20E GHz, 1M Cache, 800 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
694,,,,,,,"Pentium 4 Supporting HT Technology, 3.40 GHz, 1M Cache, 800 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
695,,,,,,,"Pentium 4 Supporting HT Technology, 3.40E GHz, 1M Cache, 800 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
696,,,,,,,"Pentium M 1.60 GHz, 1M Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
697,,,,,,,"Pentium M LV 1.10 GHz, 1M Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
698,,,,,,,"Pentium 4 2.60 GHz, 512K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
699,,,,,,,"Pentium 4 Mobile - M 2.20 GHz, 512K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
700,,,,,,,"Pentium 4 Mobile - M 1.70 GHz, 512K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
701,,,,,,,"Pentium 4 2.00 GHz, 512K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
702,,,,,,,"Pentium 4 2.20 GHz, 512K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
703,,,,,,,"Pentium 4 2.40 GHz, 512K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
704,,,,,,,"Pentium 4 2.40 GHz, 512K Cache, 533 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
705,,,,,,,"Pentium 4 2.50 GHz, 512K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
706,,,,,,,"Pentium III - S 1.26 GHz, 512K Cache, 133 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
707,,,,,,,"Pentium III - S 800 MHz, 512K Cache, 133 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
708,,,,,,,"Pentium III - S 933 MHz, 512K Cache, 133 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
709,,,,,,,"Pentium III 1.00 GHz, 256K Cache, 100 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
710,,,,,,,"Pentium III 1.00 GHz, 256K Cache, 133 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
711,,,,,,,"Pentium III 600 MHz, 256K Cache, 100 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
712,,,,,,,"Pentium III 700 MHz, 256K Cache, 100 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
713,,,,,,,"Pentium III 733 MHz, 256K Cache, 133 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
714,,,,,,,"Pentium III 850 MHz, 256K Cache, 100 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
715,,,,,,,"Pentium III 866 MHx, 256K Cache, 133 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
716,,,,,,,Xeon Platinum 8444H,,,,,,,,,,,,,,,,,,,,,,,
717,,,,,,,Xeon Platinum 8450H,,,,,,,,,,,,,,,,,,,,,,,
718,,,,,,,Xeon Platinum 8452Y,,,,,,,,,,,,,,,,,,,,,,,
719,,,,,,,Xeon Platinum 8454H,,,,,,,,,,,,,,,,,,,,,,,
720,,,,,,,Xeon Platinum 8458P,,,,,,,,,,,,,,,,,,,,,,,
721,,,,,,,Xeon Platinum 8460H,,,,,,,,,,,,,,,,,,,,,,,
722,,,,,,,Xeon Platinum 8460Y+,,,,,,,,,,,,,,,,,,,,,,,
723,,,,,,,Xeon Platinum 8461V,,,,,,,,,,,,,,,,,,,,,,,
724,,,,,,,Xeon Platinum 8462Y+,,,,,,,,,,,,,,,,,,,,,,,
725,,,,,,,Xeon Platinum 8468,,,,,,,,,,,,,,,,,,,,,,,
726,,,,,,,Xeon Platinum 8468H,,,,,,,,,,,,,,,,,,,,,,,
727,,,,,,,Xeon Platinum 8468V,,,,,,,,,,,,,,,,,,,,,,,
728,,,,,,,Xeon Platinum 8470,,,,,,,,,,,,,,,,,,,,,,,
729,,,,,,,Xeon Platinum 8470N,,,,,,,,,,,,,,,,,,,,,,,
730,,,,,,,Xeon Platinum 8470Q,,,,,,,,,,,,,,,,,,,,,,,
731,,,,,,,Xeon Platinum 8471N,,,,,,,,,,,,,,,,,,,,,,,
732,,,,,,,Xeon Platinum 8480+,,,,,,,,,,,,,,,,,,,,,,,
733,,,,,,,Xeon Platinum 8490H,,,,,,,,,,,,,,,,,,,,,,,
734,,,,,,,Xeon Gold 5411N,,,,,,,,,,,,,,,,,,,,,,,
735,,,,,,,Xeon Gold 5412U,,,,,,,,,,,,,,,,,,,,,,,
736,,,,,,,Xeon Gold 5415+,,,,,,,,,,,,,,,,,,,,,,,
737,,,,,,,Xeon Gold 5416S,,,,,,,,,,,,,,,,,,,,,,,
738,,,,,,,Xeon Gold 5418N,,,,,,,,,,,,,,,,,,,,,,,
739,,,,,,,Xeon Gold 5418Y,,,,,,,,,,,,,,,,,,,,,,,
740,,,,,,,Xeon Gold 5420+,,,,,,,,,,,,,,,,,,,,,,,
741,,,,,,,Xeon Gold 5423N,,,,,,,,,,,,,,,,,,,,,,,
742,,,,,,,Xeon Gold 5433N,,,,,,,,,,,,,,,,,,,,,,,
743,,,,,,,Xeon Gold 6414U,,,,,,,,,,,,,,,,,,,,,,,
744,,,,,,,Xeon Gold 6416H,,,,,,,,,,,,,,,,,,,,,,,
745,,,,,,,Xeon Gold 6418H,,,,,,,,,,,,,,,,,,,,,,,
746,,,,,,,Xeon Gold 6421N,,,,,,,,,,,,,,,,,,,,,,,
747,,,,,,,Xeon Gold 6426Y,,,,,,,,,,,,,,,,,,,,,,,
748,,,,,,,Xeon Gold 6428N,,,,,,,,,,,,,,,,,,,,,,,
749,,,,,,,Xeon Gold 6430,,,,,,,,,,,,,,,,,,,,,,,
750,,,,,,,Xeon Gold 6434,,,,,,,,,,,,,,,,,,,,,,,
751,,,,,,,Xeon Gold 6434H,,,,,,,,,,,,,,,,,,,,,,,
752,,,,,,,Xeon Gold 6438M,,,,,,,,,,,,,,,,,,,,,,,
753,,,,,,,Xeon Gold 6438N,,,,,,,,,,,,,,,,,,,,,,,
754,,,,,,,Xeon Gold 6438Y+,,,,,,,,,,,,,,,,,,,,,,,
755,,,,,,,Xeon Gold 6442Y,,,,,,,,,,,,,,,,,,,,,,,
756,,,,,,,Xeon Gold 6444Y,,,,,,,,,,,,,,,,,,,,,,,
757,,,,,,,Xeon Gold 6448H,,,,,,,,,,,,,,,,,,,,,,,
758,,,,,,,Xeon Gold 6448Y,,,,,,,,,,,,,,,,,,,,,,,
759,,,,,,,Xeon Gold 6454S,,,,,,,,,,,,,,,,,,,,,,,
760,,,,,,,Xeon Gold 6458Q,,,,,,,,,,,,,,,,,,,,,,,
761,,,,,,,Xeon Silver 4410T,,,,,,,,,,,,,,,,,,,,,,,
762,,,,,,,Xeon Silver 4410Y,,,,,,,,,,,,,,,,,,,,,,,
763,,,,,,,Xeon Silver 4416+,,,,,,,,,,,,,,,,,,,,,,,
764,,,,,,,Xeon Bronze 3408U,,,,,,,,,,,,,,,,,,,,,,,
765,,,,,,,Xeon Gold 5315Y,,,,,,,,,,,,,,,,,,,,,,,
766,,,,,,,Xeon Gold 5317,,,,,,,,,,,,,,,,,,,,,,,
767,,,,,,,Xeon Gold 5318N,,,,,,,,,,,,,,,,,,,,,,,
768,,,,,,,Xeon Gold 5318S,,,,,,,,,,,,,,,,,,,,,,,
769,,,,,,,Xeon Gold 5318Y,,,,,,,,,,,,,,,,,,,,,,,
770,,,,,,,Xeon Gold 5320,,,,,,,,,,,,,,,,,,,,,,,
771,,,,,,,Xeon Gold 5320T,,,,,,,,,,,,,,,,,,,,,,,
772,,,,,,,Xeon Gold 6312U,,,,,,,,,,,,,,,,,,,,,,,
773,,,,,,,Xeon Gold 6314U,,,,,,,,,,,,,,,,,,,,,,,
774,,,,,,,Xeon Gold 6326,,,,,,,,,,,,,,,,,,,,,,,
775,,,,,,,Xeon Gold 6330,,,,,,,,,,,,,,,,,,,,,,,
776,,,,,,,Xeon Gold 6330N,,,,,,,,,,,,,,,,,,,,,,,
777,,,,,,,Xeon Gold 6334,,,,,,,,,,,,,,,,,,,,,,,
778,,,,,,,Xeon Gold 6336Y,,,,,,,,,,,,,,,,,,,,,,,
779,,,,,,,Xeon Gold 6338,,,,,,,,,,,,,,,,,,,,,,,
780,,,,,,,Xeon Gold 6338N,,,,,,,,,,,,,,,,,,,,,,,
781,,,,,,,Xeon Gold 6338T,,,,,,,,,,,,,,,,,,,,,,,
782,,,,,,,Xeon Gold 6342,,,,,,,,,,,,,,,,,,,,,,,
783,,,,,,,Xeon Gold 6346,,,,,,,,,,,,,,,,,,,,,,,
784,,,,,,,Xeon Gold 6348,,,,,,,,,,,,,,,,,,,,,,,
785,,,,,,,Xeon Gold 6354,,,,,,,,,,,,,,,,,,,,,,,
786,,,,,,,Xeon Platinum 8351N,,,,,,,,,,,,,,,,,,,,,,,
787,,,,,,,Xeon Platinum 8352M,,,,,,,,,,,,,,,,,,,,,,,
788,,,,,,,Xeon Platinum 8352S,,,,,,,,,,,,,,,,,,,,,,,
789,,,,,,,Xeon Platinum 8352V,,,,,,,,,,,,,,,,,,,,,,,
790,,,,,,,Xeon Platinum 8352Y,,,,,,,,,,,,,,,,,,,,,,,
791,,,,,,,Xeon Platinum 8358,,,,,,,,,,,,,,,,,,,,,,,
792,,,,,,,Xeon Platinum 8358P,,,,,,,,,,,,,,,,,,,,,,,
793,,,,,,,Xeon Platinum 8360Y,,,,,,,,,,,,,,,,,,,,,,,
794,,,,,,,Xeon Platinum 8362,,,,,,,,,,,,,,,,,,,,,,,
795,,,,,,,Xeon Platinum 8368,,,,,,,,,,,,,,,,,,,,,,,
796,,,,,,,Xeon Platinum 8368Q,,,,,,,,,,,,,,,,,,,,,,,
797,,,,,,,Xeon Platinum 8380,,,,,,,,,,,,,,,,,,,,,,,
798,,,,,,,Xeon Silver 4309Y,,,,,,,,,,,,,,,,,,,,,,,
799,,,,,,,Xeon Silver 4310,,,,,,,,,,,,,,,,,,,,,,,
800,,,,,,,Xeon Silver 4310T,,,,,,,,,,,,,,,,,,,,,,,
801,,,,,,,Xeon Silver 4314,,,,,,,,,,,,,,,,,,,,,,,
802,,,,,,,Xeon Silver 4316,,,,,,,,,,,,,,,,,,,,,,,
803,,,,,,,Xeon Gold 6330H,,,,,,,,,,,,,,,,,,,,,,,
804,,,,,,,Xeon Platinum 8356H,,,,,,,,,,,,,,,,,,,,,,,
805,,,,,,,Xeon Platinum 8360H,,,,,,,,,,,,,,,,,,,,,,,
806,,,,,,,Xeon Platinum 8360HL,,,,,,,,,,,,,,,,,,,,,,,
807,,,,,,,Xeon Gold 5318H,,,,,,,,,,,,,,,,,,,,,,,
808,,,,,,,Xeon Gold 5320H,,,,,,,,,,,,,,,,,,,,,,,
809,,,,,,,Xeon Gold 6328H,,,,,,,,,,,,,,,,,,,,,,,
810,,,,,,,Xeon Gold 6328HL,,,,,,,,,,,,,,,,,,,,,,,
811,,,,,,,Xeon Gold 6348H,,,,,,,,,,,,,,,,,,,,,,,
812,,,,,,,Xeon Platinum 8353H,,,,,,,,,,,,,,,,,,,,,,,
813,,,,,,,Xeon Platinum 8354H,,,,,,,,,,,,,,,,,,,,,,,
814,,,,,,,Xeon Platinum 8376H,,,,,,,,,,,,,,,,,,,,,,,
815,,,,,,,Xeon Platinum 8376HL,,,,,,,,,,,,,,,,,,,,,,,
816,,,,,,,Xeon Platinum 8380H,,,,,,,,,,,,,,,,,,,,,,,
817,,,,,,,Xeon Platinum 8380HL,,,,,,,,,,,,,,,,,,,,,,,
818,,,,,,,Xeon Bronze 3206R,,,,,,,,,,,,,,,,,,,,,,,
819,,,,,,,Xeon Gold 5218R,,,,,,,,,,,,,,,,,,,,,,,
820,,,,,,,Xeon Gold 5220R,,,,,,,,,,,,,,,,,,,,,,,
821,,,,,,,Xeon Gold 6208U,,,,,,,,,,,,,,,,,,,,,,,
822,,,,,,,Xeon Gold 6226R,,,,,,,,,,,,,,,,,,,,,,,
823,,,,,,,Xeon Gold 6230R,,,,,,,,,,,,,,,,,,,,,,,
824,,,,,,,Xeon Gold 6238R,,,,,,,,,,,,,,,,,,,,,,,
825,,,,,,,Xeon Gold 6240R,,,,,,,,,,,,,,,,,,,,,,,
826,,,,,,,Xeon Gold 6242R,,,,,,,,,,,,,,,,,,,,,,,
827,,,,,,,Xeon Gold 6246R,,,,,,,,,,,,,,,,,,,,,,,
828,,,,,,,Xeon Gold 6248R,,,,,,,,,,,,,,,,,,,,,,,
829,,,,,,,Xeon Gold 6250,,,,,,,,,,,,,,,,,,,,,,,
830,,,,,,,Xeon Gold 6250L,,,,,,,,,,,,,,,,,,,,,,,
831,,,,,,,Xeon Gold 6256,,,,,,,,,,,,,,,,,,,,,,,
832,,,,,,,Xeon Gold 6258R,,,,,,,,,,,,,,,,,,,,,,,
833,,,,,,,Xeon Silver 4210R,,,,,,,,,,,,,,,,,,,,,,,
834,,,,,,,Xeon Silver 4210T,,,,,,,,,,,,,,,,,,,,,,,
835,,,,,,,Xeon Silver 4214R,,,,,,,,,,,,,,,,,,,,,,,
836,,,,,,,Xeon Silver 4215R,,,,,,,,,,,,,,,,,,,,,,,
837,,,,,,,Xeon Platinum 9221,,,,,,,,,,,,,,,,,,,,,,,
838,,,,,,,Xeon Platinum 9222,,,,,,,,,,,,,,,,,,,,,,,
839,,,,,,,Xeon Bronze 3204,,,,,,,,,,,,,,,,,,,,,,,
840,,,,,,,Xeon Gold 5215,,,,,,,,,,,,,,,,,,,,,,,
841,,,,,,,Xeon Gold 5215L,,,,,,,,,,,,,,,,,,,,,,,
842,,,,,,,Xeon Gold 5217,,,,,,,,,,,,,,,,,,,,,,,
